,volatilidad_anual,retorno_anual,sharpe_ratio,max_drawdown
AAPL,0.3181,0.2716,0.6966,-0.3336
AMZN,0.357,0.2123,0.4545,-0.5615
BBAR,0.6765,0.4749,0.6281,-0.6634
BMA,0.6338,0.3986,0.5501,-0.7159
DIA,0.2005,0.1239,0.3683,-0.367
EEM,0.2169,0.0757,0.1183,-0.3982
GGAL,0.6306,0.4369,0.6136,-0.6438
GOOGL,0.3247,0.3083,0.7955,-0.4432
MSFT,0.2955,0.2367,0.6317,-0.3715
NVDA,0.5318,0.7165,1.2532,-0.6634
PAM,0.5054,0.4141,0.7204,-0.4181
QQQ,0.2531,0.2128,0.643,-0.3512
SPY,0.2075,0.1602,0.5312,-0.3372
YPF,0.6204,0.3859,0.5414,-0.7697
