Date,AAPL,AMZN,BBAR,BMA,DIA,EEM,GGAL,GOOGL,MSFT,NVDA,PAM,QQQ,SPY,YPF,Total_portafolio
2020-01-02,"724,01","379,6","161,57","536,8","1029,99","601,31","632,25","203,62","1065,11","35,82","396,0","1666,54","1484,44","337,8","9254,86"
2020-01-03,"716,97","374,99","155,14","522,04","1021,78","590,14","608,75","202,55","1051,85","35,25","387,5","1651,27","1473,2","334,8","9126,24"
2020-01-06,"722,68","380,58","158,06","528,98","1024,14","588,7","615,3","207,95","1054,57","35,4","383,75","1661,91","1478,82","334,2","9175,04"
2020-01-07,"719,28","381,37","160,11","521,16","1019,71","588,3","611,45","207,55","1044,95","35,83","381,5","1661,68","1474,66","327,3","9134,85"
2020-01-08,"730,85","378,39","162,44","528,68","1025,64","591,72","618,0","209,03","1061,59","35,89","373,75","1674,17","1482,52","329,4","9202,09"
2020-01-09,"746,37","380,21","168,58","543,89","1033,35","595,66","641,5","211,22","1074,86","36,29","383,25","1688,36","1492,57","329,7","9325,81"
2020-01-10,"748,06","376,63","168,0","534,29","1028,64","598,81","630,71","212,59","1069,88","36,48","376,5","1684,04","1488,28","319,8","9272,72"
2020-01-13,"764,04","378,26","161,57","509,93","1031,42","608,14","601,82","214,23","1082,75","37,63","359,75","1703,47","1498,51","319,5","9271,02"
2020-01-14,"753,73","373,89","156,31","496,8","1032,13","604,72","596,04","212,83","1075,12","36,93","359,25","1696,76","1496,23","319,2","9209,93"
2020-01-15,"750,5","372,4","149,0","472,88","1036,17","599,99","571,38","214,11","1082,08","36,67","349,5","1697,46","1499,61","311,4","9143,15"
2020-01-16,"759,9","375,59","153,97","485,72","1045,37","603,8","587,95","215,74","1101,91","37,17","355,0","1713,72","1512,09","310,5","9258,43"
2020-01-17,"768,31","372,94","158,94","487,94","1047,08","607,22","601,05","220,11","1108,08","37,22","373,75","1722,2","1516,79","309,6","9331,23"
2020-01-21,"763,1","378,4","151,05","479,08","1041,94","591,85","581,01","220,51","1104,1","37,02","356,75","1721,43","1513,82","294,6","9234,68"
2020-01-22,"765,83","377,49","155,14","486,61","1041,87","596,71","576,77","220,76","1098,8","37,35","364,5","1725,98","1514,0","298,5","9260,3"
2020-01-23,"769,52","376,92","141,99","467,86","1040,9","590,54","560,59","220,88","1105,56","37,76","347,5","1731,53","1515,74","292,8","9200,08"
2020-01-24,"767,3","372,33","134,4","447,19","1034,69","585,81","539,02","218,12","1094,42","37,4","330,0","1716,96","1502,26","289,8","9069,69"
2020-01-27,"744,74","365,67","129,43","439,07","1018,84","565,58","529,77","213,0","1076,12","35,87","332,0","1681,5","1478,18","281,1","8890,85"
2020-01-28,"765,8","370,65","134,98","462,84","1025,73","570,31","556,74","215,79","1097,2","37,03","340,75","1707,33","1493,67","282,6","9061,42"
2020-01-29,"781,83","371,6","132,64","456,93","1025,73","573,07","555,2","216,71","1114,31","36,67","337,0","1710,1","1492,44","287,4","9091,63"
2020-01-30,"780,7","374,14","138,19","467,42","1030,19","564,53","571,76","216,35","1145,74","36,71","341,5","1716,19","1497,28","288,3","9169,0"
2020-01-31,"746,09","401,74","136,73","452,8","1008,34","553,1","552,89","213,16","1128,83","35,3","329,25","1688,98","1470,09","281,7","8999,01"
2020-02-03,"744,04","400,84","143,16","489,12","1013,91","559,27","585,25","220,57","1156,35","35,89","358,75","1714,49","1481,01","290,4","9193,06"
2020-02-04,"768,6","409,93","131,77","473,17","1028,41","573,72","570,22","215,03","1194,42","36,9","338,0","1753,74","1503,59","291,0","9288,51"
2020-02-05,"774,87","407,97","138,49","479,37","1045,62","577,01","567,53","215,13","1192,96","37,44","341,0","1759,52","1520,95","295,5","9353,35"
2020-02-06,"783,93","410,05","140,82","479,23","1048,76","577,53","570,22","219,58","1217,69","37,97","345,5","1774,71","1526,07","295,5","9427,56"
2020-02-07,"773,28","415,86","144,62","491,92","1039,65","569,52","577,16","220,05","1219,42","37,57","350,75","1767,08","1517,93","295,8","9420,6"
2020-02-10,"776,95","426,78","144,91","488,53","1045,94","572,67","577,54","224,44","1251,31","39,27","345,0","1788,43","1529,27","297,0","9508,05"
2020-02-11,"772,26","430,16","140,53","469,78","1045,9","580,16","564,83","224,65","1223,07","40,0","335,75","1788,74","1531,92","286,8","9434,55"
2020-02-12,"790,6","432,0","137,61","483,21","1055,83","588,04","570,61","225,93","1224,86","40,7","336,5","1806,16","1541,79","282,9","9516,73"
2020-02-13,"784,97","429,97","126,8","459,44","1052,61","580,29","523,22","225,15","1218,22","40,43","321,75","1803,85","1540,14","276,3","9383,16"
2020-02-14,"785,16","426,97","127,97","460,48","1051,61","580,55","531,31","225,94","1229,1","43,27","320,0","1809,02","1542,61","284,4","9418,4"
2020-02-18,"770,79","431,13","127,68","461,51","1045,94","576,74","527,84","226,05","1241,57","44,29","320,0","1809,71","1538,63","284,4","9406,27"
2020-02-19,"781,95","434,04","129,14","484,25","1050,04","580,95","542,87","226,86","1245,29","46,99","322,75","1827,06","1545,99","289,5","9507,67"
2020-02-20,"773,93","430,62","133,23","500,49","1045,33","571,88","551,34","225,68","1226,27","46,1","330,25","1810,1","1539,64","291,0","9475,86"
2020-02-21,"756,41","419,19","133,81","505,51","1037,33","568,6","558,28","220,69","1187,51","43,91","331,25","1775,32","1523,78","287,7","9349,3"
2020-02-24,"720,48","401,86","130,6","485,57","1000,88","547,32","537,47","211,23","1136,31","40,81","322,25","1706,86","1473,25","273,6","8988,49"
2020-02-25,"696,08","394,55","123,88","466,83","969,16","542,99","510,5","206,24","1117,56","39,13","311,75","1660,45","1428,6","255,0","8722,71"
2020-02-26,"707,12","395,92","125,05","469,63","965,72","547,32","512,43","206,86","1131,52","39,97","304,5","1669,01","1423,35","257,1","8755,49"
2020-02-27,"660,9","376,86","123,0","439,96","921,9","534,19","502,03","195,63","1051,79","37,74","297,0","1585,43","1359,42","246,0","8331,85"
2020-02-28,"660,51","376,75","117,74","427,85","911,37","532,22","487,0","199,24","1077,26","40,35","296,25","1586,67","1353,71","239,7","8306,63"
2020-03-02,"722,0","390,79","123,59","444,97","956,02","543,78","503,95","206,24","1148,94","41,3","335,25","1668,54","1412,34","241,2","8738,92"
2020-03-03,"699,07","381,8","121,83","442,61","928,34","540,1","499,33","199,01","1093,88","39,73","335,75","1615,04","1371,9","243,0","8511,4"
2020-03-04,"731,5","395,17","130,6","462,99","969,84","549,69","522,83","205,54","1134,05","42,51","360,0","1682,42","1429,56","247,2","8863,89"
2020-03-05,"707,77","384,81","128,55","453,54","936,08","538,13","508,19","195,6","1105,59","40,83","345,75","1631,31","1382,04","232,5","8590,68"
2020-03-06,"698,37","380,22","119,2","417,51","926,73","527,09","470,82","192,77","1074,33","39,75","335,75","1603,78","1359,2","219,0","8364,54"
2020-03-09,"643,14","360,12","98,75","338,09","854,66","491,11","383,74","180,87","1001,52","36,67","276,75","1492,38","1253,05","157,8","7568,66"
2020-03-10,"689,46","378,36","111,9","380,75","896,73","516,06","426,13","189,71","1070,01","39,01","295,5","1573,64","1317,89","182,4","8067,55"
2020-03-11,"665,51","364,17","95,83","351,23","844,35","492,03","391,45","180,15","1021,54","36,83","275,0","1505,1","1253,64","162,3","7639,12"
2020-03-12,"599,79","335,32","75,96","292,91","759,39","442,77","336,35","165,37","924,66","32,32","252,25","1367,09","1133,7","139,5","6857,39"
2020-03-13,"671,65","357,0","85,02","315,06","831,0","474,69","354,85","180,65","1056,12","35,98","258,5","1482,89","1230,61","135,0","7469,01"
2020-03-16,"585,24","337,83","77,42","256,44","724,95","415,45","275,09","159,63","900,45","29,34","237,0","1305,26","1095,96","114,6","6514,68"
2020-03-17,"610,98","361,57","82,68","285,23","764,26","444,08","294,36","166,33","974,59","32,46","267,5","1404,25","1155,13","105,3","6948,74"
2020-03-18,"596,02","366,0","72,16","239,47","713,85","405,73","234,25","162,34","933,57","30,3","245,5","1361,54","1096,64","77,1","6534,48"
